id_votacao,data,descricao,deputado_id,deputado_nome,partidoSigla,uf,voto
2367548-7,2024-02-20,REQ 1884/2023,220664,Guilherme Uchoa,PSB,PE,Sim
2367548-7,2024-02-20,REQ 1884/2023,220531,Gilvan Maximo,REPUBLICANOS,DF,Sim
2367548-7,2024-02-20,REQ 1884/2023,74317,Júlio Cesar,PSD,PI,Sim
2367548-7,2024-02-20,REQ 1884/2023,143632,Domingos Neto,PSD,CE,Sim
2367548-7,2024-02-20,REQ 1884/2023,74161,Reginaldo Lopes,PT,MG,Sim
2367548-7,2024-02-20,REQ 1884/2023,160535,Marcon,PT,RS,Sim
2367548-7,2024-02-20,REQ 1884/2023,178964,Heitor Schuch,PSB,RS,Sim
2367548-7,2024-02-20,REQ 1884/2023,220605,Bandeira de Mello,PSB,RJ,Sim
2367548-7,2024-02-20,REQ 1884/2023,74848,Jandira Feghali,PCdoB,RJ,Sim
2367548-7,2024-02-20,REQ 1884/2023,123756,Antônia Lúcia,REPUBLICANOS,AC,Sim
2367548-7,2024-02-20,REQ 1884/2023,204441,Otoni de Paula,MDB,RJ,Sim
2367548-7,2024-02-20,REQ 1884/2023,115200,Raniery Paulino,REPUBLICANOS,PB,Sim
2367548-7,2024-02-20,REQ 1884/2023,178954,Lucio Mosquini,MDB,RO,Sim
2367548-7,2024-02-20,REQ 1884/2023,178966,Geovania de Sá,PSDB,SC,Sim
2367548-7,2024-02-20,REQ 1884/2023,227310,Silvio Antonio,PL,MA,Sim
2367548-7,2024-02-20,REQ 1884/2023,100689,Hildo do Candango,REPUBLICANOS,GO,Sim
2367548-7,2024-02-20,REQ 1884/2023,141431,Fernando Coelho Filho,UNIÃO,PE,Sim
2367548-7,2024-02-20,REQ 1884/2023,204423,André Ferreira,PL,PE,Sim
2367548-7,2024-02-20,REQ 1884/2023,220695,Rogéria Santos,REPUBLICANOS,BA,Sim
2367548-7,2024-02-20,REQ 1884/2023,204473,General Girão,PL,RN,Sim
2367548-7,2024-02-20,REQ 1884/2023,220608,Cristiane Lopes,UNIÃO,RO,Sim
2367548-7,2024-02-20,REQ 1884/2023,220569,Silvye Alves,UNIÃO,GO,Sim
2367548-7,2024-02-20,REQ 1884/2023,204361,Carlos Chiodini,MDB,SC,Sim
2367548-7,2024-02-20,REQ 1884/2023,205476,Charles Fernandes,PSD,BA,Sim
2367548-7,2024-02-20,REQ 1884/2023,204460,Carlos Jordy,PL,RJ,Sim
2367548-7,2024-02-20,REQ 1884/2023,103758,Luciano Azevedo,PSD,RS,Sim
2367548-7,2024-02-20,REQ 1884/2023,178987,Orlando Silva,PCdoB,SP,Sim
2367548-7,2024-02-20,REQ 1884/2023,141516,Paulo Abi-Ackel,PSDB,MG,Sim
2367548-7,2024-02-20,REQ 1884/2023,141470,José Guimarães,PT,CE,Sim
2367548-7,2024-02-20,REQ 1884/2023,178895,Misael Varella,PSD,MG,Sim
2367548-7,2024-02-20,REQ 1884/2023,204528,Adriana Ventura,NOVO,SP,Sim
2367548-7,2024-02-20,REQ 1884/2023,204549,AJ Albuquerque,PP,CE,Sim
2367548-7,2024-02-20,REQ 1884/2023,122158,Pedro Paulo,PSD,RJ,Sim
2367548-7,2024-02-20,REQ 1884/2023,224333,Welter,PT,PR,Sim
2367548-7,2024-02-20,REQ 1884/2023,213274,Ricardo Silva,PSD,SP,Sim
2367548-7,2024-02-20,REQ 1884/2023,204355,Da Vitoria,PP,ES,Sim
2367548-7,2024-02-20,REQ 1884/2023,220604,Marcos Tavares,PDT,RJ,Sim
2367548-7,2024-02-20,REQ 1884/2023,220540,Duda Ramos,MDB,RR,Sim
2367548-7,2024-02-20,REQ 1884/2023,220672,Henderson Pinto,MDB,PA,Sim
2367548-7,2024-02-20,REQ 1884/2023,98057,Lafayette de Andrada,REPUBLICANOS,MG,Sim
2367548-7,2024-02-20,REQ 1884/2023,178929,Diego Garcia,REPUBLICANOS,PR,Sim
2367548-7,2024-02-20,REQ 1884/2023,74356,Silas Câmara,REPUBLICANOS,AM,Sim
2367548-7,2024-02-20,REQ 1884/2023,220675,Antônio Doido,MDB,PA,Sim
2367548-7,2024-02-20,REQ 1884/2023,160592,Zeca Dirceu,PT,PR,Sim
2367548-7,2024-02-20,REQ 1884/2023,160588,Diego Andrade,PSD,MG,Sim
2367548-7,2024-02-20,REQ 1884/2023,227370,Felipe Saliba,PRD,MG,Sim
2367548-7,2024-02-20,REQ 1884/2023,220674,Dra. Alessandra Haber,MDB,PA,Sim
2367548-7,2024-02-20,REQ 1884/2023,204525,Rosana Valle,PL,SP,Sim
2367548-7,2024-02-20,REQ 1884/2023,72442,Felipe Carreras,PSB,PE,Sim
2367548-7,2024-02-20,REQ 1884/2023,220586,Rafael Brito,MDB,AL,Sim
2367548-7,2024-02-20,REQ 1884/2023,220566,Lêda Borges,PSDB,GO,Sim
2367548-7,2024-02-20,REQ 1884/2023,204476,Chiquinho Brazão,UNIÃO,RJ,Sim
2367548-7,2024-02-20,REQ 1884/2023,204422,Ossesio Silva,REPUBLICANOS,PE,Sim
2367548-7,2024-02-20,REQ 1884/2023,74454,Eunício Oliveira,MDB,CE,Sim
2367548-7,2024-02-20,REQ 1884/2023,220554,Alexandre Lindenmeyer,PT,RS,Sim
2367548-7,2024-02-20,REQ 1884/2023,204482,Euclydes Pettersen,REPUBLICANOS,MG,Sim
2367548-7,2024-02-20,REQ 1884/2023,204396,Vermelho,PL,PR,Sim
2367548-7,2024-02-20,REQ 1884/2023,220587,Gerlen Diniz,PP,AC,Sim
2367548-7,2024-02-20,REQ 1884/2023,141450,Hugo Leal,PSD,RJ,Sim
2367548-7,2024-02-20,REQ 1884/2023,141456,Jilmar Tatto,PT,SP,Sim
2367548-7,2024-02-20,REQ 1884/2023,220548,Camila Jara,PT,MS,Sim
2367548-7,2024-02-20,REQ 1884/2023,204497,Júnior Ferrari,PSD,PA,Sim
2367548-7,2024-02-20,REQ 1884/2023,220693,Roberta Roma,PL,BA,Sim
2367548-7,2024-02-20,REQ 1884/2023,74158,Mário Heringer,PDT,MG,Sim
2367548-7,2024-02-20,REQ 1884/2023,62881,Danilo Forte,UNIÃO,CE,Sim
2367548-7,2024-02-20,REQ 1884/2023,138286,Luciano Alves,PSD,PR,Sim
2367548-7,2024-02-20,REQ 1884/2023,160601,Pr. Marco Feliciano,PL,SP,Sim
2367548-7,2024-02-20,REQ 1884/2023,204534,Tabata Amaral,PSB,SP,Sim
2367548-7,2024-02-20,REQ 1884/2023,204395,Pedro Lupion,PP,PR,Sim
2367548-7,2024-02-20,REQ 1884/2023,74554,José Rocha,UNIÃO,BA,Sim
2367548-7,2024-02-20,REQ 1884/2023,160758,Domingos Sávio,PL,MG,Sim
2367548-7,2024-02-20,REQ 1884/2023,220607,Max Lemos,PDT,RJ,Sim
2367548-7,2024-02-20,REQ 1884/2023,204526,Luiz Philippe de Orleans e Bragança,PL,SP,Sim
2367548-7,2024-02-20,REQ 1884/2023,204453,Natália Bonavides,PT,RN,Sim
2367548-7,2024-02-20,REQ 1884/2023,204501,Alencar Santana,PT,SP,Sim
2367548-7,2024-02-20,REQ 1884/2023,221339,Dr. Benjamim,UNIÃO,MA,Sim
2367548-7,2024-02-20,REQ 1884/2023,136811,Afonso Hamm,PP,RS,Sim
2367548-7,2024-02-20,REQ 1884/2023,133810,Marcelo Moraes,PL,RS,Sim
2367548-7,2024-02-20,REQ 1884/2023,160545,Alexandre Leite,UNIÃO,SP,Sim
2367548-7,2024-02-20,REQ 1884/2023,220590,Coronel Ulysses,UNIÃO,AC,Sim
2367548-7,2024-02-20,REQ 1884/2023,220662,Lucas Ramos,PSB,PE,Sim
2367548-7,2024-02-20,REQ 1884/2023,220606,Reimont,PT,RJ,Sim
2367548-7,2024-02-20,REQ 1884/2023,178992,Vitor Lippi,PSDB,SP,Sim
2367548-7,2024-02-20,REQ 1884/2023,220633,Ricardo Salles,PL,SP,Sim
2367548-7,2024-02-20,REQ 1884/2023,220599,Marcelo Crivella,REPUBLICANOS,RJ,Sim
2367548-7,2024-02-20,REQ 1884/2023,160629,Romero Rodrigues,PODE,PB,Sim
2367548-7,2024-02-20,REQ 1884/2023,204508,Igor Timo,PODE,MG,Sim
2367548-7,2024-02-20,REQ 1884/2023,69871,Bacelar,PV,BA,Sim
2367548-7,2024-02-20,REQ 1884/2023,141391,Arnaldo Jardim,CIDADANIA,SP,Sim
2367548-7,2024-02-20,REQ 1884/2023,163321,Ronaldo Nogueira,REPUBLICANOS,RS,Sim
2367548-7,2024-02-20,REQ 1884/2023,226179,Gisela Simona,UNIÃO,MT,Sim
2367548-7,2024-02-20,REQ 1884/2023,204364,Eli Borges,PL,TO,Sim
2367548-7,2024-02-20,REQ 1884/2023,204391,José Nelto,PP,GO,Sim
2367548-7,2024-02-20,REQ 1884/2023,220579,Silvia Waiãpi,PL,AP,Sim
2367548-7,2024-02-20,REQ 1884/2023,220656,Fernanda Pessoa,UNIÃO,CE,Sim
2367548-7,2024-02-20,REQ 1884/2023,220648,Marangoni,UNIÃO,SP,Sim
2367548-7,2024-02-20,REQ 1884/2023,160604,Pedro Uczai,PT,SC,Sim
2367548-7,2024-02-20,REQ 1884/2023,204431,Marcos Aurélio Sampaio,PSD,PI,Sim
2367548-7,2024-02-20,REQ 1884/2023,178909,Hélio Leite,UNIÃO,PA,Sim
2367548-7,2024-02-20,REQ 1884/2023,160569,Waldenor Pereira,PT,BA,Sim
2367548-7,2024-02-20,REQ 1884/2023,220609,Maurício Carvalho,UNIÃO,RO,Sim
2367548-7,2024-02-20,REQ 1884/2023,222142,Coronel Telhada,PP,SP,Sim
2367548-7,2024-02-20,REQ 1884/2023,220702,Geraldo Mendes,UNIÃO,PR,Sim
2367548-7,2024-02-20,REQ 1884/2023,220551,Franciane Bayer,REPUBLICANOS,RS,Sim
2367548-7,2024-02-20,REQ 1884/2023,160632,Zé Silva,SOLIDARIEDADE,MG,Sim
2367548-7,2024-02-20,REQ 1884/2023,178858,Mário Negromonte Jr.,PP,BA,Sim
2367548-7,2024-02-20,REQ 1884/2023,178829,Capitão Augusto,PL,SP,Sim
2367548-7,2024-02-20,REQ 1884/2023,141408,Cleber Verde,MDB,MA,Sim
2367548-7,2024-02-20,REQ 1884/2023,204369,Caroline de Toni,PL,SC,Sim
2367548-7,2024-02-20,REQ 1884/2023,160600,Arthur Oliveira Maia,UNIÃO,BA,Sim
2367548-7,2024-02-20,REQ 1884/2023,204524,Pinheirinho,PP,MG,Sim
2367548-7,2024-02-20,REQ 1884/2023,220572,Marussa Boldrin,MDB,GO,Sim
2367548-7,2024-02-20,REQ 1884/2023,74084,Raimundo Santos,PSD,PA,Sim
2367548-7,2024-02-20,REQ 1884/2023,220610,Dr. Fernando Máximo,UNIÃO,RO,Sim
2367548-7,2024-02-20,REQ 1884/2023,73692,Osmar Terra,MDB,RS,Sim
2367548-7,2024-02-20,REQ 1884/2023,220595,Coronel Fernanda,PL,MT,Sim
