id_votacao,data,descricao,deputado_id,deputado_nome,partidoSigla,uf,voto
2417025-55,2024-03-12,,160592,Zeca Dirceu,PT,PR,Não
2417025-55,2024-03-12,,160976,Tiririca,PL,SP,Não
2417025-55,2024-03-12,,72442,Felipe Carreras,PSB,PE,Não
2417025-55,2024-03-12,,74383,Giacobo,PL,PR,Sim
2417025-55,2024-03-12,,160556,Padre João,PT,MG,Não
2417025-55,2024-03-12,,227323,Luciano Galego,PL,MA,Sim
2417025-55,2024-03-12,,204419,Glaustin da Fokus,PODE,GO,Não
2417025-55,2024-03-12,,220532,Rafael Prudente,MDB,DF,Não
2417025-55,2024-03-12,,204407,Fernanda Melchionna,PSOL,RS,Não
2417025-55,2024-03-12,,139285,Lídice da Mata,PSB,BA,Não
2417025-55,2024-03-12,,166402,Magda Mofatto,PRD,GO,Sim
2417025-55,2024-03-12,,213274,Ricardo Silva,PSD,SP,Sim
2417025-55,2024-03-12,,220603,Dani Cunha,UNIÃO,RJ,Não
2417025-55,2024-03-12,,223128,Rodrigo Estacho,PSD,PR,Sim
2417025-55,2024-03-12,,204364,Eli Borges,PL,TO,Sim
2417025-55,2024-03-12,,74156,Leonardo Monteiro,PT,MG,Não
2417025-55,2024-03-12,,204409,Daniel Trzeciak,PSDB,RS,Sim
2417025-55,2024-03-12,,204457,Juninho do Pneu,UNIÃO,RJ,Não
2417025-55,2024-03-12,,220561,Delegada Katarina,PSD,SE,Sim
2417025-55,2024-03-12,,204520,Junio Amaral,PL,MG,Sim
2417025-55,2024-03-12,,220549,Any Ortiz,CIDADANIA,RS,Sim
2417025-55,2024-03-12,,160591,Vinicius Gurgel,PL,AP,Não
2417025-55,2024-03-12,,98148,Cobalchini,MDB,SC,Não
2417025-55,2024-03-12,,178876,Célio Silveira,MDB,GO,Não
2417025-55,2024-03-12,,182146,Wolmer Araújo,SOLIDARIEDADE,MA,Não
2417025-55,2024-03-12,,204406,Pedro Westphalen,PP,RS,Sim
2417025-55,2024-03-12,,178964,Heitor Schuch,PSB,RS,Não
2417025-55,2024-03-12,,220609,Maurício Carvalho,UNIÃO,RO,Sim
2417025-55,2024-03-12,,204416,Sanderson,PL,RS,Sim
2417025-55,2024-03-12,,226708,Allan Garcês,PP,MA,Sim
2417025-55,2024-03-12,,220613,Roberto Monteiro Pai,PL,RJ,Sim
2417025-55,2024-03-12,,220633,Ricardo Salles,PL,SP,Sim
2417025-55,2024-03-12,,204464,Talíria Petrone,PSOL,RJ,Não
2417025-55,2024-03-12,,88256,Clodoaldo Magalhães,PV,PE,Não
2417025-55,2024-03-12,,227370,Felipe Saliba,PRD,MG,Sim
2417025-55,2024-03-12,,204559,Zé Neto,PT,BA,Não
2417025-55,2024-03-12,,141458,João Carlos Bacelar,PL,BA,Não
2417025-55,2024-03-12,,74253,Julio Lopes,PP,RJ,Não
2417025-55,2024-03-12,,220569,Silvye Alves,UNIÃO,GO,Não
2417025-55,2024-03-12,,128760,Paulo Marinho Jr,PL,MA,Sim
2417025-55,2024-03-12,,141459,João Maia,PP,RN,Não
2417025-55,2024-03-12,,204517,Zé Vitor,PL,MG,Sim
2417025-55,2024-03-12,,220648,Marangoni,UNIÃO,SP,Não
2417025-55,2024-03-12,,179001,Márcio Biolchi,MDB,RS,Não
2417025-55,2024-03-12,,136811,Afonso Hamm,PP,RS,Sim
2417025-55,2024-03-12,,74428,Mendonça Filho,UNIÃO,PE,Sim
2417025-55,2024-03-12,,160601,Pr. Marco Feliciano,PL,SP,Sim
2417025-55,2024-03-12,,220616,Luciano Vieira,PL,RJ,Não
2417025-55,2024-03-12,,204549,AJ Albuquerque,PP,CE,Não
2417025-55,2024-03-12,,220682,Tadeu Veneri,PT,PR,Não
2417025-55,2024-03-12,,220621,Sargento Gonçalves,PL,RN,Sim
2417025-55,2024-03-12,,74467,Damião Feliciano,UNIÃO,PB,Não
2417025-55,2024-03-12,,204462,Chris Tonietto,PL,RJ,Sim
2417025-55,2024-03-12,,141531,Rodrigo de Castro,UNIÃO,MG,Não
2417025-55,2024-03-12,,204379,Acácio Favacho,MDB,AP,Não
2417025-55,2024-03-12,,220548,Camila Jara,PT,MS,Não
2417025-55,2024-03-12,,204372,Julio Cesar Ribeiro,REPUBLICANOS,DF,Não
2417025-55,2024-03-12,,220683,Beto Richa,PSDB,PR,Sim
2417025-55,2024-03-12,,73701,Benedita da Silva,PT,RJ,Não
2417025-55,2024-03-12,,98057,Lafayette de Andrada,REPUBLICANOS,MG,Sim
2417025-55,2024-03-12,,220579,Silvia Waiãpi,PL,AP,Sim
2417025-55,2024-03-12,,204404,Lucas Redecker,PSDB,RS,Sim
2417025-55,2024-03-12,,178908,Delegado Éder Mauro,PL,PA,Sim
2417025-55,2024-03-12,,221339,Dr. Benjamim,UNIÃO,MA,Não
2417025-55,2024-03-12,,221378,Reginete Bispo,PT,RS,Não
2417025-55,2024-03-12,,220585,Mersinho Lucena,PP,PB,Não
2417025-55,2024-03-12,,220681,Fábio Macedo,PODE,MA,Não
2417025-55,2024-03-12,,178829,Capitão Augusto,PL,SP,Sim
2417025-55,2024-03-12,,204444,Helio Lopes,PL,RJ,Sim
2417025-55,2024-03-12,,220658,Luiz Gastão,PSD,CE,Não
2417025-55,2024-03-12,,141450,Hugo Leal,PSD,RJ,Não
2417025-55,2024-03-12,,141516,Paulo Abi-Ackel,PSDB,MG,Não
2417025-55,2024-03-12,,220676,Andreia Siqueira,MDB,PA,Não
2417025-55,2024-03-12,,204394,Gervásio Maia,PSB,PB,Não
2417025-55,2024-03-12,,204398,Felipe Francischini,UNIÃO,PR,Sim
