id_votacao,data,descricao,deputado_id,deputado_nome,partidoSigla,uf,voto
2419197-54,2024-04-09,,204479,Nicoletti,UNIÃO,RR,Sim
2419197-54,2024-04-09,,141531,Rodrigo de Castro,UNIÃO,MG,Não
2419197-54,2024-04-09,,160599,Dimas Fabiano,PP,MG,Sim
2419197-54,2024-04-09,,204360,Silvia Cristina,PL,RO,Sim
2419197-54,2024-04-09,,215043,Josivaldo JP,PSD,MA,Não
2419197-54,2024-04-09,,104552,Socorro Neri,PP,AC,Sim
2419197-54,2024-04-09,,220622,Nely Aquino,PODE,MG,Não
2419197-54,2024-04-09,,204533,Idilvan Alencar,PDT,CE,Não
2419197-54,2024-04-09,,141456,Jilmar Tatto,PT,SP,Não
2419197-54,2024-04-09,,157130,Túlio Gadêlha,REDE,PE,Não
2419197-54,2024-04-09,,141459,João Maia,PP,RN,Sim
2419197-54,2024-04-09,,150418,Márcio Marinho,REPUBLICANOS,BA,Não
2419197-54,2024-04-09,,204462,Chris Tonietto,PL,RJ,Sim
2419197-54,2024-04-09,,178964,Heitor Schuch,PSB,RS,Não
2419197-54,2024-04-09,,205865,Reinhold Stephanes,PSD,PR,Sim
2419197-54,2024-04-09,,220577,Augusto Puppio,MDB,AP,Não
2419197-54,2024-04-09,,160538,Bohn Gass,PT,RS,Não
2419197-54,2024-04-09,,178987,Orlando Silva,PCdoB,SP,Não
2419197-54,2024-04-09,,220672,Henderson Pinto,MDB,PA,Não
2419197-54,2024-04-09,,74585,Lincoln Portela,PL,MG,Sim
2419197-54,2024-04-09,,204404,Lucas Redecker,PSDB,RS,Sim
2419197-54,2024-04-09,,220688,Dr. Francisco,PT,PI,Não
2419197-54,2024-04-09,,224333,Welter,PT,PR,Não
2419197-54,2024-04-09,,74550,João Leão,PP,BA,Sim
2419197-54,2024-04-09,,162067,Kiko Celeguim,PT,SP,Não
2419197-54,2024-04-09,,204406,Pedro Westphalen,PP,RS,Sim
2419197-54,2024-04-09,,220594,Coronel Assis,UNIÃO,MT,Sim
2419197-54,2024-04-09,,73604,Rui Falcão,PT,SP,Não
2419197-54,2024-04-09,,220690,Capitão Alden,PL,BA,Sim
2419197-54,2024-04-09,,220677,Keniston Braga,MDB,PA,Não
2419197-54,2024-04-09,,222429,Luis Carlos Gomes,REPUBLICANOS,RJ,Não
2419197-54,2024-04-09,,73806,Roseana Sarney,MDB,MA,Não
2419197-54,2024-04-09,,220617,Murillo Gouvea,UNIÃO,RJ,Não
2419197-54,2024-04-09,,204387,Sargento Fahur,PSD,PR,Sim
2419197-54,2024-04-09,,204518,Dr. Frederico,PRD,MG,Sim
2419197-54,2024-04-09,,220588,Roberto Duarte,REPUBLICANOS,AC,Não
2419197-54,2024-04-09,,220607,Max Lemos,PDT,RJ,Não
2419197-54,2024-04-09,,160604,Pedro Uczai,PT,SC,Não
2419197-54,2024-04-09,,178887,Rubens Pereira Júnior,PT,MA,Não
2419197-54,2024-04-09,,210989,Bruno Farias,AVANTE,MG,Não
2419197-54,2024-04-09,,204501,Alencar Santana,PT,SP,Não
2419197-54,2024-04-09,,220644,Rosangela Moro,UNIÃO,SP,Sim
2419197-54,2024-04-09,,220618,Sargento Portugal,PODE,RJ,Sim
2419197-54,2024-04-09,,227370,Felipe Saliba,PRD,MG,Sim
2419197-54,2024-04-09,,133810,Marcelo Moraes,PL,RS,Sim
2419197-54,2024-04-09,,74467,Damião Feliciano,UNIÃO,PB,Não
2419197-54,2024-04-09,,133439,André Figueiredo,PDT,CE,Não
2419197-54,2024-04-09,,171786,Miguel Ângelo,PT,MG,Não
2419197-54,2024-04-09,,178943,Marcos Soares,UNIÃO,RJ,Não
2419197-54,2024-04-09,,220556,Ana Paula Lima,PT,SC,Não
2419197-54,2024-04-09,,73692,Osmar Terra,MDB,RS,Sim
2419197-54,2024-04-09,,141480,Lázaro Botelho,PP,TO,Sim
2419197-54,2024-04-09,,204433,Marcelo Calero,PSD,RJ,Não
2419197-54,2024-04-09,,220666,Coronel Meira,PL,PE,Sim
2419197-54,2024-04-09,,160758,Domingos Sávio,PL,MG,Sim
2419197-54,2024-04-09,,204450,Doutor Luizinho,PP,RJ,Sim
2419197-54,2024-04-09,,220545,Filipe Martins,PL,TO,Sim
2419197-54,2024-04-09,,74141,Josias Gomes,PT,BA,Não
2419197-54,2024-04-09,,152605,Glauber Braga,PSOL,RJ,Não
2419197-54,2024-04-09,,220549,Any Ortiz,CIDADANIA,RS,Sim
2419197-54,2024-04-09,,220665,Clarissa Tércio,PP,PE,Sim
2419197-54,2024-04-09,,178970,João Daniel,PT,SE,Não
2419197-54,2024-04-09,,204398,Felipe Francischini,UNIÃO,PR,Não
2419197-54,2024-04-09,,178931,Luciano Ducci,PSB,PR,Não
2419197-54,2024-04-09,,178910,Joaquim Passarinho,PL,PA,Sim
2419197-54,2024-04-09,,220546,Rodolfo Nogueira,PL,MS,Sim
2419197-54,2024-04-09,,204525,Rosana Valle,PL,SP,Sim
2419197-54,2024-04-09,,220559,Julia Zanatta,PL,SC,Sim
2419197-54,2024-04-09,,122974,Pedro Lucas Fernandes,UNIÃO,MA,Não
2419197-54,2024-04-09,,141408,Cleber Verde,MDB,MA,Não
2419197-54,2024-04-09,,171617,Paulão,PT,AL,Não
2419197-54,2024-04-09,,220616,Luciano Vieira,REPUBLICANOS,RJ,Não
2419197-54,2024-04-09,,221148,Alfredinho,PT,SP,Não
2419197-54,2024-04-09,,220582,Daniel Barbosa,PP,AL,Não
2419197-54,2024-04-09,,220602,Dimas Gadelha,PT,RJ,Não
2419197-54,2024-04-09,,62881,Danilo Forte,UNIÃO,CE,Não
2419197-54,2024-04-09,,220550,Mauricio Marcon,PODE,RS,Sim
2419197-54,2024-04-09,,220583,Delegado Fabio Costa,PP,AL,Sim
2419197-54,2024-04-09,,220691,Diego Coronel,PSD,BA,Não
2419197-54,2024-04-09,,138286,Luciano Alves,PSD,PR,Não
2419197-54,2024-04-09,,178871,Evair Vieira de Melo,PP,ES,Sim
2419197-54,2024-04-09,,178975,Baleia Rossi,MDB,SP,Não
2419197-54,2024-04-09,,191923,Flávio Nogueira,PT,PI,Não
2419197-54,2024-04-09,,204535,Sâmia Bomfim,PSOL,SP,Não
2419197-54,2024-04-09,,220655,Mario Frias,PL,SP,Sim
2419197-54,2024-04-09,,178997,Moses Rodrigues,UNIÃO,CE,Não
2419197-54,2024-04-09,,220539,Defensor Stélio Dener,REPUBLICANOS,RR,Não
2419197-54,2024-04-09,,220667,Pedro Campos,PSB,PE,Não
2419197-54,2024-04-09,,74041,Luiz Couto,PT,PB,Não
2419197-54,2024-04-09,,160601,Pr. Marco Feliciano,PL,SP,Sim
2419197-54,2024-04-09,,204367,Daniel Freitas,PL,SC,Sim
2419197-54,2024-04-09,,204369,Caroline de Toni,PL,SC,Sim
2419197-54,2024-04-09,,74554,José Rocha,UNIÃO,BA,Não
2419197-54,2024-04-09,,204526,Luiz Philippe de Orleans e Bragança,PL,SP,Sim
2419197-54,2024-04-09,,222142,Coronel Telhada,PP,SP,Sim
2419197-54,2024-04-09,,204539,Hercílio Coelho Diniz,MDB,MG,Não
2419197-54,2024-04-09,,220654,Delegado Paulo Bilynskyj,PL,SP,Sim
2419197-54,2024-04-09,,123086,Átila Lira,PP,PI,Sim
2419197-54,2024-04-09,,220599,Marcelo Crivella,REPUBLICANOS,RJ,Não
2419197-54,2024-04-09,,220687,Márcio Honaiser,PDT,MA,Não
2419197-54,2024-04-09,,226708,Allan Garcês,PP,MA,Não
2419197-54,2024-04-09,,220685,Paulo Litro,PSD,PR,Não
2419197-54,2024-04-09,,160673,Giovani Cherini,PL,RS,Sim
2419197-54,2024-04-09,,204390,Professor Alcides,PL,GO,Sim
2419197-54,2024-04-09,,220670,Iza Arruda,MDB,PE,Não
2419197-54,2024-04-09,,204459,Daniela do Waguinho,UNIÃO,RJ,Não
2419197-54,2024-04-09,,220608,Cristiane Lopes,UNIÃO,RO,Não
2419197-54,2024-04-09,,204488,Célio Studart,PSD,CE,Sim
2419197-54,2024-04-09,,220600,Lebrão,UNIÃO,RO,Não
2419197-54,2024-04-09,,220661,Matheus Noronha,PL,CE,Não
2419197-54,2024-04-09,,227433,Douglas Viegas,UNIÃO,SP,Não
2419197-54,2024-04-09,,178963,Covatti Filho,PP,RS,Sim
2419197-54,2024-04-09,,180214,Pastor Diniz,UNIÃO,RR,Sim
2419197-54,2024-04-09,,204388,Bibo Nunes,PL,RS,Sim
2419197-54,2024-04-09,,205550,Jorge Braz,REPUBLICANOS,RJ,Não
2419197-54,2024-04-09,,204492,Paulo Guedes,PT,MG,Não
2419197-54,2024-04-09,,220581,Luciano Amaral,PV,AL,Não
2419197-54,2024-04-09,,220628,Mauricio do Vôlei,PL,MG,Sim
2419197-54,2024-04-09,,141450,Hugo Leal,PSD,RJ,Não
2419197-54,2024-04-09,,204486,Mauro Benevides Filho,PDT,CE,Não
2419197-54,2024-04-09,,109429,Benes Leocádio,UNIÃO,RN,Não
2419197-54,2024-04-09,,160569,Waldenor Pereira,PT,BA,Não
2419197-54,2024-04-09,,160629,Romero Rodrigues,PODE,PB,Não
2419197-54,2024-04-09,,178876,Célio Silveira,MDB,GO,Não
2419197-54,2024-04-09,,204480,Rogério Correia,PT,MG,Não
2419197-54,2024-04-09,,220560,Thiago de Joaldo,PP,SE,Sim
2419197-54,2024-04-09,,220694,Ricardo Maia,MDB,BA,Não
2419197-54,2024-04-09,,220715,Amom Mandel,CIDADANIA,AM,Sim
2419197-54,2024-04-09,,141464,José Airton Félix Cirilo,PT,CE,Não
2419197-54,2024-04-09,,220563,Icaro de Valmir,PL,SE,Não
2419197-54,2024-04-09,,220673,Delegado Caveira,PL,PA,Sim
2419197-54,2024-04-09,,74060,Daniel Almeida,PCdoB,BA,Não
2419197-54,2024-04-09,,188097,Merlong Solano,PT,PI,Não
2419197-54,2024-04-09,,204358,Beto Pereira,PSDB,MS,Não
2419197-54,2024-04-09,,178929,Diego Garcia,REPUBLICANOS,PR,Não
2419197-54,2024-04-09,,198197,Greyce Elias,AVANTE,MG,Não
2419197-54,2024-04-09,,220650,Paulo Alexandre Barbosa,PSDB,SP,Sim
2419197-54,2024-04-09,,74084,Raimundo Santos,PSD,PA,Não
2419197-54,2024-04-09,,141485,Luiz Carlos Busato,UNIÃO,RS,Não
2419197-54,2024-04-09,,220629,Dandara,PT,MG,Não
2419197-54,2024-04-09,,220631,Samuel Viana,REPUBLICANOS,MG,Não
2419197-54,2024-04-09,,204474,Juarez Costa,MDB,MT,Não
2419197-54,2024-04-09,,204540,Maria Rosas,REPUBLICANOS,SP,Não
2419197-54,2024-04-09,,219585,Marco Brasil,PP,PR,Não
2419197-54,2024-04-09,,220574,Cabo Gilberto Silva,PL,PB,Sim
2419197-54,2024-04-09,,204508,Igor Timo,PODE,MG,Não
2419197-54,2024-04-09,,220675,Antônio Doido,MDB,PA,Não
2419197-54,2024-04-09,,160588,Diego Andrade,PSD,MG,Não
2419197-54,2024-04-09,,220695,Rogéria Santos,REPUBLICANOS,BA,Não
2419197-54,2024-04-09,,72442,Felipe Carreras,PSB,PE,Não
2419197-54,2024-04-09,,204372,Julio Cesar Ribeiro,REPUBLICANOS,DF,Não
2419197-54,2024-04-09,,220651,Simone Marquetto,MDB,SP,Sim
2419197-54,2024-04-09,,204460,Carlos Jordy,PL,RJ,Sim
2419197-54,2024-04-09,,218086,Ely Santos,REPUBLICANOS,SP,Não
2419197-54,2024-04-09,,220701,Delegado Matheus Laiola,UNIÃO,PR,Não
2419197-54,2024-04-09,,178985,Miguel Lombardi,PL,SP,Sim
2419197-54,2024-04-09,,220714,Adail Filho,REPUBLICANOS,AM,Não
2419197-54,2024-04-09,,178908,Delegado Éder Mauro,PL,PA,Sim
2419197-54,2024-04-09,,220552,Zucco,PL,RS,Sim
2419197-54,2024-04-09,,107970,Ana Paula Leão,PP,MG,Sim
2419197-54,2024-04-09,,141411,Dagoberto Nogueira,PSDB,MS,Não
2419197-54,2024-04-09,,156190,Marcel van Hattem,NOVO,RS,Sim
2419197-54,2024-04-09,,160666,Félix Mendonça Júnior,PDT,BA,Não
2419197-54,2024-04-09,,220641,Rodrigo Gambale,PODE,SP,Não
2419197-54,2024-04-09,,74057,Alice Portugal,PCdoB,BA,Não
2419197-54,2024-04-09,,160665,Augusto Coutinho,REPUBLICANOS,PE,Não
2419197-54,2024-04-09,,220551,Franciane Bayer,REPUBLICANOS,RS,Não
2419197-54,2024-04-09,,220553,Denise Pessôa,PT,RS,Não
2419197-54,2024-04-09,,153423,Renilce Nicodemos,MDB,PA,Não
2419197-54,2024-04-09,,204351,Dr. Luiz Ovando,PP,MS,Sim
2419197-54,2024-04-09,,220615,Pastor Henrique Vieira,PSOL,RJ,Não
2419197-54,2024-04-09,,74356,Silas Câmara,REPUBLICANOS,AM,Não
2419197-54,2024-04-09,,220533,Prof. Reginaldo Veras,PV,DF,Não
2419197-54,2024-04-09,,220547,Marcos Pollon,PL,MS,Sim
2419197-54,2024-04-09,,220697,Jadyel Alencar,PV,PI,Não
2419197-54,2024-04-09,,160527,Aguinaldo Ribeiro,PP,PB,Não
2419197-54,2024-04-09,,204491,Gilberto Abramo,REPUBLICANOS,MG,Não
2419197-54,2024-04-09,,204431,Marcos Aurélio Sampaio,PSD,PI,Não
2419197-54,2024-04-09,,220586,Rafael Brito,MDB,AL,Não
2419197-54,2024-04-09,,98615,Ismael,PSD,SC,Não
2419197-54,2024-04-09,,160545,Alexandre Leite,UNIÃO,SP,Não
2419197-54,2024-04-09,,74784,Luiza Erundina,PSOL,SP,Não
2419197-54,2024-04-09,,81055,Márcio Jerry,PCdoB,MA,Não
2419197-54,2024-04-09,,220597,Thiago Flores,MDB,RO,Não
2419197-54,2024-04-09,,69871,Bacelar,PV,BA,Não
2419197-54,2024-04-09,,92699,Fernando Monteiro,PP,PE,Não
2419197-54,2024-04-09,,122158,Pedro Paulo,PSD,RJ,Não
2419197-54,2024-04-09,,178992,Vitor Lippi,PSDB,SP,Sim
2419197-54,2024-04-09,,204557,Sidney Leite,PSD,AM,Sim
2419197-54,2024-04-09,,220692,Dal Barreto,UNIÃO,BA,Não
2419197-54,2024-04-09,,74454,Eunício Oliveira,MDB,CE,Sim
2419197-54,2024-04-09,,220573,Dorinaldo Malafaia,PDT,AP,Não
2419197-54,2024-04-09,,204512,Delegado Marcelo Freitas,UNIÃO,MG,Não
2419197-54,2024-04-09,,220660,Yury do Paredão,MDB,CE,Não
2419197-54,2024-04-09,,220674,Dra. Alessandra Haber,MDB,PA,Não
2419197-54,2024-04-09,,223128,Rodrigo Estacho,PSD,PR,Não
2419197-54,2024-04-09,,66385,Julio Arcoverde,PP,PI,Sim
2419197-54,2024-04-09,,141431,Fernando Coelho Filho,UNIÃO,PE,Não
2419197-54,2024-04-09,,160558,Paulo Freire Costa,PL,SP,Sim
2419197-54,2024-04-09,,220604,Marcos Tavares,PDT,RJ,Não
2419197-54,2024-04-09,,220630,Pedro Aihara,PRD,MG,Não
2419197-54,2024-04-09,,220658,Luiz Gastão,PSD,CE,Não
2419197-54,2024-04-09,,220683,Beto Richa,PSDB,PR,Sim
2419197-54,2024-04-09,,74171,Chico Alencar,PSOL,RJ,Não
2419197-54,2024-04-09,,220669,Lula da Fonte,PP,PE,Sim
2419197-54,2024-04-09,,73768,Dilceu Sperafico,PP,PR,Sim
2419197-54,2024-04-09,,178966,Geovania de Sá,PSDB,SC,Sim
2419197-54,2024-04-09,,204422,Ossesio Silva,REPUBLICANOS,PE,Não
2419197-54,2024-04-09,,220543,Ricardo Ayres,REPUBLICANOS,TO,Não
2419197-54,2024-04-09,,227800,Duarte Gonçalves Jr,REPUBLICANOS,MG,Não
2419197-54,2024-04-09,,204356,Amaro Neto,REPUBLICANOS,ES,Não
2419197-54,2024-04-09,,220668,Maria Arraes,SOLIDARIEDADE,PE,Não
2419197-54,2024-04-09,,221339,Dr. Benjamim,UNIÃO,MA,Não
2419197-54,2024-04-09,,204507,Carla Zambelli,PL,SP,Sim
2419197-54,2024-04-09,,80815,Leo Prates,PDT,BA,Não
2419197-54,2024-04-09,,73531,Ivan Valente,PSOL,SP,Não
2419197-54,2024-04-09,,220571,Daniel Agrobom,PL,GO,Sim
2419197-54,2024-04-09,,226837,Saulo Pedroso,PSD,SP,Não
2419197-54,2024-04-09,,220526,Gilvan da Federal,PL,ES,Sim
2419197-54,2024-04-09,,226179,Gisela Simona,UNIÃO,MT,Não
2419197-54,2024-04-09,,204504,Cezinha de Madureira,PSD,SP,Não
2419197-54,2024-04-09,,220639,Guilherme Boulos,PSOL,SP,Não
2419197-54,2024-04-09,,178983,Marcio Alvino,PL,SP,Sim
2419197-54,2024-04-09,,220536,Zé Haroldo Cathedral,PSD,RR,Não
2419197-54,2024-04-09,,74398,Maria do Rosário,PT,RS,Não
2419197-54,2024-04-09,,178835,Afonso Motta,PDT,RS,Não
2419197-54,2024-04-09,,204511,David Soares,UNIÃO,SP,Sim
2419197-54,2024-04-09,,220605,Bandeira de Mello,PSB,RJ,Não
2419197-54,2024-04-09,,220612,Bebeto,PP,RJ,Sim
2419197-54,2024-04-09,,88256,Clodoaldo Magalhães,PV,PE,Não
2419197-54,2024-04-09,,137070,Vicentinho Júnior,PP,TO,Sim
2419197-54,2024-04-09,,227401,Dr Fabio Rueda,UNIÃO,AC,Não
2419197-54,2024-04-09,,220584,Murilo Galdino,REPUBLICANOS,PB,Não
2419197-54,2024-04-09,,227660,Nitinho,PSD,SE,Não
2419197-54,2024-04-09,,73801,Renildo Calheiros,PCdoB,PE,Não
2419197-54,2024-04-09,,220564,Yandra Moura,UNIÃO,SE,Não
2419197-54,2024-04-09,,220580,Professora Goreth,PDT,AP,Não
2419197-54,2024-04-09,,206018,Célia Xakriabá,PSOL,MG,Não
2419197-54,2024-04-09,,74262,Carlos Sampaio,PSD,SP,Não
2419197-54,2024-04-09,,204355,Da Vitoria,PP,ES,Sim
2419197-54,2024-04-09,,74574,Paulo Magalhães,PSD,BA,Não
2419197-54,2024-04-09,,204456,Gutemberg Reis,MDB,RJ,Não
2419197-54,2024-04-09,,220532,Rafael Prudente,MDB,DF,Não
2419197-54,2024-04-09,,220578,Josenildo,PDT,AP,Não
2419197-54,2024-04-09,,220656,Fernanda Pessoa,UNIÃO,CE,Não
2419197-54,2024-04-09,,74317,Júlio Cesar,PSD,PI,Não
2419197-54,2024-04-09,,115200,Raniery Paulino,REPUBLICANOS,PB,Não
2419197-54,2024-04-09,,178895,Misael Varella,PSD,MG,Não
2419197-54,2024-04-09,,220544,Antonio Andrade,REPUBLICANOS,TO,Não
2419197-54,2024-04-09,,162332,Luiz Nishimori,PSD,PR,Não
2419197-54,2024-04-09,,178829,Capitão Augusto,PL,SP,Sim
2419197-54,2024-04-09,,204368,Fabio Schiochet,UNIÃO,SC,Não
