id_votacao,data,descricao,deputado_id,deputado_nome,partidoSigla,uf,voto
2431153-7,2024-05-07,REQ 1473/2024,98057,Lafayette de Andrada,REPUBLICANOS,MG,Sim
2431153-7,2024-05-07,REQ 1473/2024,133810,Marcelo Moraes,PL,RS,Sim
2431153-7,2024-05-07,REQ 1473/2024,73579,Alberto Fraga,PL,DF,Sim
2431153-7,2024-05-07,REQ 1473/2024,228272,Délio Pinheiro,PDT,MG,Não
2431153-7,2024-05-07,REQ 1473/2024,220610,Dr. Fernando Máximo,UNIÃO,RO,Sim
2431153-7,2024-05-07,REQ 1473/2024,178895,Misael Varella,PSD,MG,Sim
2431153-7,2024-05-07,REQ 1473/2024,73486,Pompeo de Mattos,PDT,RS,Sim
2431153-7,2024-05-07,REQ 1473/2024,116379,Darci de Matos,PSD,SC,Sim
2431153-7,2024-05-07,REQ 1473/2024,220616,Luciano Vieira,REPUBLICANOS,RJ,Sim
2431153-7,2024-05-07,REQ 1473/2024,178929,Diego Garcia,REPUBLICANOS,PR,Sim
2431153-7,2024-05-07,REQ 1473/2024,66385,Julio Arcoverde,PP,PI,Sim
2431153-7,2024-05-07,REQ 1473/2024,178876,Célio Silveira,MDB,GO,Sim
2431153-7,2024-05-07,REQ 1473/2024,220668,Maria Arraes,SOLIDARIEDADE,PE,Não
2431153-7,2024-05-07,REQ 1473/2024,178954,Lucio Mosquini,MDB,RO,Sim
2431153-7,2024-05-07,REQ 1473/2024,178947,Sóstenes Cavalcante,PL,RJ,Sim
2431153-7,2024-05-07,REQ 1473/2024,204517,Zé Vitor,PL,MG,Sim
2431153-7,2024-05-07,REQ 1473/2024,204572,Capitão Alberto Neto,PL,AM,Sim
2431153-7,2024-05-07,REQ 1473/2024,220554,Alexandre Lindenmeyer,PT,RS,Não
2431153-7,2024-05-07,REQ 1473/2024,220640,Juliana Cardoso,PT,SP,Não
2431153-7,2024-05-07,REQ 1473/2024,226708,Allan Garcês,PP,MA,Sim
2431153-7,2024-05-07,REQ 1473/2024,220714,Adail Filho,REPUBLICANOS,AM,Sim
2431153-7,2024-05-07,REQ 1473/2024,220692,Dal Barreto,UNIÃO,BA,Sim
2431153-7,2024-05-07,REQ 1473/2024,104552,Socorro Neri,PP,AC,Sim
2431153-7,2024-05-07,REQ 1473/2024,220666,Coronel Meira,PL,PE,Sim
2431153-7,2024-05-07,REQ 1473/2024,178829,Capitão Augusto,PL,SP,Sim
2431153-7,2024-05-07,REQ 1473/2024,204574,Junior Lourenço,PL,MA,Sim
2431153-7,2024-05-07,REQ 1473/2024,220591,Meire Serafim,UNIÃO,AC,Sim
2431153-7,2024-05-07,REQ 1473/2024,139285,Lídice da Mata,PSB,BA,Não
2431153-7,2024-05-07,REQ 1473/2024,178989,Renata Abreu,PODE,SP,Sim
2431153-7,2024-05-07,REQ 1473/2024,204361,Carlos Chiodini,MDB,SC,Sim
2431153-7,2024-05-07,REQ 1473/2024,74585,Lincoln Portela,PL,MG,Sim
2431153-7,2024-05-07,REQ 1473/2024,204515,André Janones,AVANTE,MG,Não
2431153-7,2024-05-07,REQ 1473/2024,220604,Marcos Tavares,PDT,RJ,Não
2431153-7,2024-05-07,REQ 1473/2024,160610,Valmir Assunção,PT,BA,Não
2431153-7,2024-05-07,REQ 1473/2024,220582,Daniel Barbosa,PP,AL,Sim
2431153-7,2024-05-07,REQ 1473/2024,74856,Laura Carneiro,PSD,RJ,Sim
2431153-7,2024-05-07,REQ 1473/2024,74550,João Leão,PP,BA,Sim
2431153-7,2024-05-07,REQ 1473/2024,220614,Dr. Daniel Soranz,PSD,RJ,Sim
2431153-7,2024-05-07,REQ 1473/2024,178964,Heitor Schuch,PSB,RS,Abstenção
2431153-7,2024-05-07,REQ 1473/2024,74159,Odair Cunha,PT,MG,Não
2431153-7,2024-05-07,REQ 1473/2024,136811,Afonso Hamm,PP,RS,Sim
2431153-7,2024-05-07,REQ 1473/2024,220606,Reimont,PT,RJ,Não
2431153-7,2024-05-07,REQ 1473/2024,171139,Loreny,SOLIDARIEDADE,SP,Sim
2431153-7,2024-05-07,REQ 1473/2024,220639,Guilherme Boulos,PSOL,SP,Não
2431153-7,2024-05-07,REQ 1473/2024,204571,Alex Santana,REPUBLICANOS,BA,Sim
2431153-7,2024-05-07,REQ 1473/2024,220703,Neto Carletto,PP,BA,Sim
2431153-7,2024-05-07,REQ 1473/2024,204473,General Girão,PL,RN,Sim
2431153-7,2024-05-07,REQ 1473/2024,204427,Fernando Rodolfo,PL,PE,Sim
2431153-7,2024-05-07,REQ 1473/2024,204394,Gervásio Maia,PSB,PB,Não
2431153-7,2024-05-07,REQ 1473/2024,220650,Paulo Alexandre Barbosa,PSDB,SP,Não
2431153-7,2024-05-07,REQ 1473/2024,204504,Cezinha de Madureira,PSD,SP,Sim
2431153-7,2024-05-07,REQ 1473/2024,122974,Pedro Lucas Fernandes,UNIÃO,MA,Sim
2431153-7,2024-05-07,REQ 1473/2024,204395,Pedro Lupion,PP,PR,Sim
2431153-7,2024-05-07,REQ 1473/2024,220609,Maurício Carvalho,UNIÃO,RO,Sim
2431153-7,2024-05-07,REQ 1473/2024,73531,Ivan Valente,PSOL,SP,Não
2431153-7,2024-05-07,REQ 1473/2024,141411,Dagoberto Nogueira,PSDB,MS,Não
2431153-7,2024-05-07,REQ 1473/2024,204455,Luiz Lima,PL,RJ,Sim
2431153-7,2024-05-07,REQ 1473/2024,138286,Luciano Alves,PSD,PR,Sim
2431153-7,2024-05-07,REQ 1473/2024,220580,Professora Goreth,PDT,AP,Não
