id_votacao,data,descricao,deputado_id,deputado_nome,partidoSigla,uf,voto
2444404-5,2024-07-02,,73579,Alberto Fraga,PL,DF,Sim
2444404-5,2024-07-02,,178881,Aluisio Mendes,REPUBLICANOS,MA,Sim
2444404-5,2024-07-02,,204387,Sargento Fahur,PSD,PR,Sim
2444404-5,2024-07-02,,204416,Sanderson,PL,RS,Sim
2444404-5,2024-07-02,,220526,Gilvan da Federal,PL,ES,Sim
2444404-5,2024-07-02,,220534,Fred Linhares,REPUBLICANOS,DF,Sim
2444404-5,2024-07-02,,220538,Albuquerque,REPUBLICANOS,RR,Sim
2444404-5,2024-07-02,,220546,Rodolfo Nogueira,PL,MS,Sim
2444404-5,2024-07-02,,220547,Marcos Pollon,PL,MS,Sim
2444404-5,2024-07-02,,220583,Delegado Fabio Costa,PP,AL,Sim
2444404-5,2024-07-02,,220590,Coronel Ulysses,UNIÃO,AC,Sim
2444404-5,2024-07-02,,220594,Coronel Assis,UNIÃO,MT,Sim
2444404-5,2024-07-02,,220618,Sargento Portugal,PODE,RJ,Sim
2444404-5,2024-07-02,,220652,Delegado Palumbo,MDB,SP,Sim
2444404-5,2024-07-02,,220654,Delegado Paulo Bilynskyj,PL,SP,Sim
2444404-5,2024-07-02,,220659,Dayany Bittencourt,UNIÃO,CE,Sim
2444404-5,2024-07-02,,220666,Coronel Meira,PL,PE,Sim
2444404-5,2024-07-02,,220690,Capitão Alden,PL,BA,Sim
2444404-5,2024-07-02,,220701,Delegado Matheus Laiola,UNIÃO,PR,Sim
2444404-5,2024-07-02,,222142,Coronel Telhada,PP,SP,Sim
2305375-57,2024-07-02,,73579,Alberto Fraga,PL,DF,Sim
2305375-57,2024-07-02,,73692,Osmar Terra,MDB,RS,Sim
2305375-57,2024-07-02,,204387,Sargento Fahur,PSD,PR,Sim
2305375-57,2024-07-02,,204416,Sanderson,PL,RS,Não
2305375-57,2024-07-02,,204473,General Girão,PL,RN,Sim
2305375-57,2024-07-02,,220526,Gilvan da Federal,PL,ES,Sim
2305375-57,2024-07-02,,220534,Fred Linhares,REPUBLICANOS,DF,Sim
2305375-57,2024-07-02,,220546,Rodolfo Nogueira,PL,MS,Sim
2305375-57,2024-07-02,,220552,Zucco,PL,RS,Sim
2305375-57,2024-07-02,,220579,Silvia Waiãpi,PL,AP,Sim
2305375-57,2024-07-02,,220594,Coronel Assis,UNIÃO,MT,Sim
2305375-57,2024-07-02,,220611,General Pazuello,PL,RJ,Sim
2305375-57,2024-07-02,,220615,Pastor Henrique Vieira,PSOL,RJ,Não
2305375-57,2024-07-02,,220649,Delegado da Cunha,PP,SP,Sim
2305375-57,2024-07-02,,220652,Delegado Palumbo,MDB,SP,Não
2305375-57,2024-07-02,,220654,Delegado Paulo Bilynskyj,PL,SP,Sim
2305375-57,2024-07-02,,220666,Coronel Meira,PL,PE,Sim
2305375-57,2024-07-02,,220690,Capitão Alden,PL,BA,Sim
2305375-57,2024-07-02,,220701,Delegado Matheus Laiola,UNIÃO,PR,Não
2305375-57,2024-07-02,,222142,Coronel Telhada,PP,SP,Sim
2422095-37,2024-07-03,,74090,Átila Lins,PSD,AM,Sim
2422095-37,2024-07-03,,160548,Jonas Donizette,PSB,SP,Sim
2422095-37,2024-07-03,,223398,Ulisses Guimarães,MDB,MG,Sim
2422095-37,2024-07-03,,221328,Adilson Barroso,PL,SP,Sim
2422095-37,2024-07-03,,204481,Dr. Jaziel,PL,CE,Sim
2422095-37,2024-07-03,,73778,Luiz Carlos Hauly,PODE,PR,Sim
2422095-37,2024-07-03,,227660,Nitinho,PSD,SE,Sim
2422095-37,2024-07-03,,220614,Dr. Daniel Soranz,PSD,RJ,Sim
2422095-37,2024-07-03,,178987,Orlando Silva,PCdoB,SP,Sim
2422095-37,2024-07-03,,220594,Coronel Assis,UNIÃO,MT,Sim
2422095-37,2024-07-03,,220608,Cristiane Lopes,UNIÃO,RO,Sim
2422095-37,2024-07-03,,228837,Juliana Kolankiewicz,MDB,MT,Sim
2422095-37,2024-07-03,,160556,Padre João,PT,MG,Sim
2422095-37,2024-07-03,,74171,Chico Alencar,PSOL,RJ,Sim
2422095-37,2024-07-03,,141459,João Maia,PP,RN,Sim
2422095-37,2024-07-03,,204412,Dr. Zacharias Calil,UNIÃO,GO,Sim
2422095-37,2024-07-03,,220569,Silvye Alves,UNIÃO,GO,Sim
2422095-37,2024-07-03,,141398,Carlos Zarattini,PT,SP,Sim
2422095-37,2024-07-03,,161550,Emidinho Madeira,PL,MG,Sim
2422095-37,2024-07-03,,204501,Alencar Santana,PT,SP,Sim
2422095-37,2024-07-03,,204457,Juninho do Pneu,UNIÃO,RJ,Sim
2422095-37,2024-07-03,,220627,Paulinho Freire,UNIÃO,RN,Sim
2422095-37,2024-07-03,,171786,Miguel Ângelo,PT,MG,Sim
2422095-37,2024-07-03,,229106,Carla Ayres,PT,SC,Sim
2422095-37,2024-07-03,,136811,Afonso Hamm,PP,RS,Sim
2422095-37,2024-07-03,,220698,Beto Preto,PSD,PR,Sim
2422095-37,2024-07-03,,122974,Pedro Lucas Fernandes,UNIÃO,MA,Sim
2422095-37,2024-07-03,,222142,Coronel Telhada,PP,SP,Sim
2422095-37,2024-07-03,,160642,Pastor Eurico,PL,PE,Sim
2422095-37,2024-07-03,,205550,Jorge Braz,REPUBLICANOS,RJ,Sim
2422095-37,2024-07-03,,220649,Delegado da Cunha,PP,SP,Sim
2422095-37,2024-07-03,,204379,Acácio Favacho,MDB,AP,Sim
2422095-37,2024-07-03,,204491,Gilberto Abramo,REPUBLICANOS,MG,Sim
2422095-37,2024-07-03,,74454,Eunício Oliveira,MDB,CE,Sim
2422095-37,2024-07-03,,220697,Jadyel Alencar,REPUBLICANOS,PI,Sim
2422095-37,2024-07-03,,220704,Carol Dartora,PT,PR,Sim
2422095-37,2024-07-03,,220657,André Fernandes,PL,CE,Sim
2422095-37,2024-07-03,,220693,Roberta Roma,PL,BA,Sim
2422095-37,2024-07-03,,74283,Vicentinho,PT,SP,Sim
2422095-37,2024-07-03,,98057,Lafayette de Andrada,REPUBLICANOS,MG,Sim
2422095-37,2024-07-03,,220571,Daniel Agrobom,PL,GO,Sim
2422095-37,2024-07-03,,88256,Clodoaldo Magalhães,PV,PE,Sim
2422095-37,2024-07-03,,178964,Heitor Schuch,PSB,RS,Sim
2422095-37,2024-07-03,,220570,Dr. Ismael Alexandrino,PSD,GO,Sim
2422095-37,2024-07-03,,215043,Josivaldo JP,PSD,MA,Sim
2422095-37,2024-07-03,,160632,Zé Silva,SOLIDARIEDADE,MG,Sim
2422095-37,2024-07-03,,220568,Gustavo Gayer,PL,GO,Sim
2422095-37,2024-07-03,,223128,Rodrigo Estacho,PSD,PR,Sim
2422095-37,2024-07-03,,178933,Sergio Souza,MDB,PR,Sim
2422095-37,2024-07-03,,204540,Maria Rosas,REPUBLICANOS,SP,Sim
2422095-37,2024-07-03,,204356,Amaro Neto,REPUBLICANOS,ES,Sim
2422095-37,2024-07-03,,178881,Aluisio Mendes,REPUBLICANOS,MA,Sim
2422095-37,2024-07-03,,204515,André Janones,AVANTE,MG,Sim
2422095-37,2024-07-03,,220553,Denise Pessôa,PT,RS,Sim
2422095-37,2024-07-03,,163321,Ronaldo Nogueira,REPUBLICANOS,RS,Sim
2422095-37,2024-07-03,,204416,Sanderson,PL,RS,Sim
2422095-37,2024-07-03,,220552,Zucco,PL,RS,Sim
2422095-37,2024-07-03,,220664,Guilherme Uchoa,PSB,PE,Sim
2422095-37,2024-07-03,,220703,Neto Carletto,PP,BA,Sim
2422095-37,2024-07-03,,160510,Luis Tibé,AVANTE,MG,Sim
2422095-37,2024-07-03,,220547,Marcos Pollon,PL,MS,Sim
2422095-37,2024-07-03,,178963,Covatti Filho,PP,RS,Sim
2422095-37,2024-07-03,,220549,Any Ortiz,CIDADANIA,RS,Sim
2422095-37,2024-07-03,,160559,Alceu Moreira,MDB,RS,Sim
2422095-37,2024-07-03,,204422,Ossesio Silva,REPUBLICANOS,PE,Sim
2422095-37,2024-07-03,,220573,Dorinaldo Malafaia,PDT,AP,Sim
2422095-37,2024-07-03,,220673,Delegado Caveira,PL,PA,Sim
2422095-37,2024-07-03,,160535,Marcon,PT,RS,Sim
2422095-37,2024-07-03,,220675,Antônio Doido,MDB,PA,Sim
2422095-37,2024-07-03,,74858,Lindbergh Farias,PT,RJ,Sim
2422095-37,2024-07-03,,204423,André Ferreira,PL,PE,Sim
2422095-37,2024-07-03,,204572,Capitão Alberto Neto,PL,AM,Sim
2422095-37,2024-07-03,,188097,Merlong Solano,PT,PI,Sim
2422095-37,2024-07-03,,220544,Antonio Andrade,REPUBLICANOS,TO,Sim
2422095-37,2024-07-03,,220539,Defensor Stélio Dener,REPUBLICANOS,RR,Sim
2422095-37,2024-07-03,,178858,Mário Negromonte Jr.,PP,BA,Sim
2422095-37,2024-07-03,,220597,Thiago Flores,REPUBLICANOS,RO,Sim
2422095-37,2024-07-03,,178934,Toninho Wandscheer,PP,PR,Sim
2422095-37,2024-07-03,,220606,Reimont,PT,RJ,Sim
2422095-37,2024-07-03,,74253,Julio Lopes,PP,RJ,Sim
2422095-37,2024-07-03,,191923,Flávio Nogueira,PT,PI,Sim
2422095-37,2024-07-03,,220554,Alexandre Lindenmeyer,PT,RS,Sim
2422095-37,2024-07-03,,204391,José Nelto,PP,GO,Sim
2422095-37,2024-07-03,,220641,Rodrigo Gambale,PODE,SP,Sim
2422095-37,2024-07-03,,220674,Dra. Alessandra Haber,MDB,PA,Sim
2422095-37,2024-07-03,,220700,Florentino Neto,PT,PI,Sim
2422095-37,2024-07-03,,74159,Odair Cunha,PT,MG,Sim
2422095-37,2024-07-03,,220576,Alfredo Gaspar,UNIÃO,AL,Sim
2422095-37,2024-07-03,,220528,Dr. Victor Linhalis,PODE,ES,Sim
2422095-37,2024-07-03,,220676,Andreia Siqueira,MDB,PA,Sim
2422095-37,2024-07-03,,220695,Rogéria Santos,REPUBLICANOS,BA,Sim
2422095-37,2024-07-03,,139285,Lídice da Mata,PSB,BA,Sim
2422095-37,2024-07-03,,204410,Luisa Canziani,PSD,PR,Sim
2422095-37,2024-07-03,,204507,Carla Zambelli,PL,SP,Sim
2422095-37,2024-07-03,,220663,Eriberto Medeiros,PSB,PE,Sim
2422095-37,2024-07-03,,74273,Jefferson Campos,PL,SP,Sim
2422095-37,2024-07-03,,220610,Dr. Fernando Máximo,UNIÃO,RO,Sim
2422095-37,2024-07-03,,160591,Vinicius Gurgel,PL,AP,Sim
2422095-37,2024-07-03,,178927,Aliel Machado,PV,PR,Sim
2422095-37,2024-07-03,,204394,Gervásio Maia,PSB,PB,Sim
2422095-37,2024-07-03,,204489,Robério Monteiro,PDT,CE,Sim
2422095-37,2024-07-03,,178887,Rubens Pereira Júnior,PT,MA,Sim
2422095-37,2024-07-03,,220550,Mauricio Marcon,PODE,RS,Sim
2422095-37,2024-07-03,,178954,Lucio Mosquini,MDB,RO,Sim
2422095-37,2024-07-03,,210989,Bruno Farias,AVANTE,MG,Sim
2422095-37,2024-07-03,,220660,Yury do Paredão,MDB,CE,Sim
2422095-37,2024-07-03,,221338,Professora Luciene Cavalcante,PSOL,SP,Sim
2422095-37,2024-07-03,,178993,Carlos Henrique Gaguim,UNIÃO,TO,Sim
2422095-37,2024-07-03,,204455,Luiz Lima,PL,RJ,Sim
2422095-37,2024-07-03,,73801,Renildo Calheiros,PCdoB,PE,Sim
2422095-37,2024-07-03,,220527,Jack Rocha,PT,ES,Sim
2422095-37,2024-07-03,,220546,Rodolfo Nogueira,PL,MS,Sim
2422095-37,2024-07-03,,220654,Delegado Paulo Bilynskyj,PL,SP,Sim
2422095-37,2024-07-03,,160666,Félix Mendonça Júnior,PDT,BA,Sim
2422095-37,2024-07-03,,220532,Rafael Prudente,MDB,DF,Sim
2422095-37,2024-07-03,,220559,Julia Zanatta,PL,SC,Sim
2422095-37,2024-07-03,,220602,Dimas Gadelha,PT,RJ,Sim
2422095-37,2024-07-03,,80815,Leo Prates,PDT,BA,Sim
2422095-37,2024-07-03,,204406,Pedro Westphalen,PP,RS,Sim
2422095-37,2024-07-03,,220625,Delegada Ione,AVANTE,MG,Sim
2422095-37,2024-07-03,,74374,Geraldo Resende,PSDB,MS,Sim
2422095-37,2024-07-03,,123086,Átila Lira,PP,PI,Sim
2422095-37,2024-07-03,,220689,Detinha,PL,MA,Sim
2422095-37,2024-07-03,,69871,Bacelar,PV,BA,Sim
2422095-37,2024-07-03,,220577,Augusto Puppio,MDB,AP,Sim
2422095-37,2024-07-03,,221148,Alfredinho,PT,SP,Sim
2422095-37,2024-07-03,,178946,Soraya Santos,PL,RJ,Sim
2422095-37,2024-07-03,,224333,Welter,PT,PR,Sim
2422095-37,2024-07-03,,220540,Duda Ramos,MDB,RR,Sim
2422095-37,2024-07-03,,220666,Coronel Meira,PL,PE,Sim
2422095-37,2024-07-03,,220699,Castro Neto,PSD,PI,Sim
2422095-37,2024-07-03,,178854,Elmar Nascimento,UNIÃO,BA,Sim
2422095-37,2024-07-03,,204404,Lucas Redecker,PSDB,RS,Sim
2422095-37,2024-07-03,,220595,Coronel Fernanda,PL,MT,Sim
2422095-37,2024-07-03,,220683,Beto Richa,PSDB,PR,Sim
2422095-37,2024-07-03,,74383,Giacobo,PL,PR,Sim
