id_votacao,data,descricao,deputado_id,deputado_nome,partidoSigla,uf,voto
2450745-8,2024-08-12,REQ 2753/2024,220536,Zé Haroldo Cathedral,PSD,RR,Não
2450745-8,2024-08-12,REQ 2753/2024,204351,Dr. Luiz Ovando,PP,MS,Sim
2450745-8,2024-08-12,REQ 2753/2024,220531,Gilvan Maximo,REPUBLICANOS,DF,Sim
2450745-8,2024-08-12,REQ 2753/2024,229069,Capitão Samuel,PP,SE,Sim
2450745-8,2024-08-12,REQ 2753/2024,178933,Sergio Souza,MDB,PR,Sim
2450745-8,2024-08-12,REQ 2753/2024,220715,Amom Mandel,CIDADANIA,AM,Não
2450745-8,2024-08-12,REQ 2753/2024,204453,Natália Bonavides,PT,RN,Sim
2450745-8,2024-08-12,REQ 2753/2024,226837,Saulo Pedroso,PSD,SP,Não
2450745-8,2024-08-12,REQ 2753/2024,204571,Alex Santana,REPUBLICANOS,BA,Não
2450745-8,2024-08-12,REQ 2753/2024,204497,Júnior Ferrari,PSD,PA,Não
2450745-8,2024-08-12,REQ 2753/2024,104552,Socorro Neri,PP,AC,Sim
2450745-8,2024-08-12,REQ 2753/2024,204494,Fred Costa,PRD,MG,Sim
2450745-8,2024-08-12,REQ 2753/2024,220657,André Fernandes,PL,CE,Não
2450745-8,2024-08-12,REQ 2753/2024,229112,Pedro Jr,PL,TO,Não
2450745-8,2024-08-12,REQ 2753/2024,160601,Pr. Marco Feliciano,PL,SP,Não
2450745-8,2024-08-12,REQ 2753/2024,229585,Elisangela Araujo,PT,BA,Sim
2450745-8,2024-08-12,REQ 2753/2024,220685,Paulo Litro,PSD,PR,Não
2450745-8,2024-08-12,REQ 2753/2024,220682,Tadeu Veneri,PT,PR,Sim
2450745-8,2024-08-12,REQ 2753/2024,223128,Rodrigo Estacho,PSD,PR,Não
2450745-8,2024-08-12,REQ 2753/2024,68720,Fábio Henrique,UNIÃO,SE,Sim
2450745-8,2024-08-12,REQ 2753/2024,74273,Jefferson Campos,PL,SP,Não
2450745-8,2024-08-12,REQ 2753/2024,160559,Alceu Moreira,MDB,RS,Sim
2450745-8,2024-08-12,REQ 2753/2024,204367,Daniel Freitas,PL,SC,Não
2450745-8,2024-08-12,REQ 2753/2024,204462,Chris Tonietto,PL,RJ,Não
2450745-8,2024-08-12,REQ 2753/2024,178963,Covatti Filho,PP,RS,Não
2450745-8,2024-08-12,REQ 2753/2024,204535,Sâmia Bomfim,PSOL,SP,Sim
2450745-8,2024-08-12,REQ 2753/2024,141391,Arnaldo Jardim,CIDADANIA,SP,Sim
2450745-8,2024-08-12,REQ 2753/2024,204573,Otto Alencar Filho,PSD,BA,Sim
2450745-8,2024-08-12,REQ 2753/2024,220623,Duda Salabert,PDT,MG,Sim
