id_votacao,data,descricao,deputado_id,deputado_nome,partidoSigla,uf,voto
2204088-88,2024-09-09,,220586,Rafael Brito,MDB,AL,Sim
2204088-88,2024-09-09,,160535,Marcon,PT,RS,Sim
2204088-88,2024-09-09,,74537,Claudio Cajado,PP,BA,Sim
2204088-88,2024-09-09,,160976,Tiririca,PL,SP,Sim
2204088-88,2024-09-09,,163321,Ronaldo Nogueira,REPUBLICANOS,RS,Sim
2204088-88,2024-09-09,,220685,Paulo Litro,PSD,PR,Sim
2204088-88,2024-09-09,,220542,Alexandre Guimarães,MDB,TO,Sim
2204088-88,2024-09-09,,220708,Gabriel Nunes,PSD,BA,Sim
2204088-88,2024-09-09,,141464,José Airton Félix Cirilo,PT,CE,Sim
2204088-88,2024-09-09,,204571,Alex Santana,REPUBLICANOS,BA,Sim
2204088-88,2024-09-09,,73692,Osmar Terra,MDB,RS,Sim
2204088-88,2024-09-09,,220537,Helena Lima,MDB,RR,Sim
2204088-88,2024-09-09,,220696,Ivoneide Caetano,PT,BA,Sim
2204088-88,2024-09-09,,73801,Renildo Calheiros,PCdoB,PE,Sim
2204088-88,2024-09-09,,204482,Euclydes Pettersen,REPUBLICANOS,MG,Sim
2204088-88,2024-09-09,,160512,Aureo Ribeiro,SOLIDARIEDADE,RJ,Sim
2204088-88,2024-09-09,,227660,Nitinho,PSD,SE,Sim
2204088-88,2024-09-09,,74090,Átila Lins,PSD,AM,Sim
2204088-88,2024-09-09,,204416,Sanderson,PL,RS,Sim
2204088-88,2024-09-09,,204378,Coronel Chrisóstomo,PL,RO,Sim
2204088-88,2024-09-09,,204489,Robério Monteiro,PDT,CE,Sim
2204088-88,2024-09-09,,69871,Bacelar,PV,BA,Sim
2204088-88,2024-09-09,,74356,Silas Câmara,REPUBLICANOS,AM,Sim
2204088-88,2024-09-09,,204445,Fernando Mineiro,PT,RN,Sim
2204088-88,2024-09-09,,220660,Yury do Paredão,MDB,CE,Sim
2204088-88,2024-09-09,,220579,Silvia Waiãpi,PL,AP,Sim
2204088-88,2024-09-09,,220677,Keniston Braga,MDB,PA,Sim
2204088-88,2024-09-09,,220619,Delegado Ramagem,PL,RJ,Sim
2204088-88,2024-09-09,,229069,Capitão Samuel,PP,SE,Abstenção
2204088-88,2024-09-09,,73768,Dilceu Sperafico,PP,PR,Sim
2204088-88,2024-09-09,,221328,Adilson Barroso,PL,SP,Sim
2204088-88,2024-09-09,,204517,Zé Vitor,PL,MG,Sim
2204088-88,2024-09-09,,229225,Michele Collins,PP,PE,Sim
2204088-88,2024-09-09,,220546,Rodolfo Nogueira,PL,MS,Sim
2204088-88,2024-09-09,,204457,Juninho do Pneu,UNIÃO,RJ,Sim
2204088-88,2024-09-09,,160558,Paulo Freire Costa,PL,SP,Sim
2204088-88,2024-09-09,,160591,Vinicius Gurgel,PL,AP,Sim
2204088-88,2024-09-09,,141408,Cleber Verde,MDB,MA,Sim
2204088-88,2024-09-09,,204369,Caroline de Toni,PL,SC,Sim
2204088-88,2024-09-09,,73806,Roseana Sarney,MDB,MA,Sim
2204088-88,2024-09-09,,204449,Nelson Barbudo,PL,MT,Sim
2204088-88,2024-09-09,,220549,Any Ortiz,CIDADANIA,RS,Sim
2204088-88,2024-09-09,,178909,Hélio Leite,UNIÃO,PA,Sim
2204088-88,2024-09-09,,74376,Vander Loubet,PT,MS,Sim
2204088-88,2024-09-09,,74848,Jandira Feghali,PCdoB,RJ,Sim
2204088-88,2024-09-09,,178860,Paulo Azi,UNIÃO,BA,Sim
2204088-88,2024-09-09,,160758,Domingos Sávio,PL,MG,Sim
2204088-88,2024-09-09,,136811,Afonso Hamm,PP,RS,Sim
2204088-88,2024-09-09,,204367,Daniel Freitas,PL,SC,Sim
2204088-88,2024-09-09,,204557,Sidney Leite,PSD,AM,Sim
2204088-88,2024-09-09,,204351,Dr. Luiz Ovando,PP,MS,Sim
2204088-88,2024-09-09,,220686,Duarte Jr.,PSB,MA,Sim
2204088-88,2024-09-09,,220608,Cristiane Lopes,UNIÃO,RO,Sim
2204088-88,2024-09-09,,204536,Kim Kataguiri,UNIÃO,SP,Sim
2204088-88,2024-09-09,,66828,Fausto Pinato,PP,SP,Sim
2204088-88,2024-09-09,,220675,Antônio Doido,MDB,PA,Sim
2204088-88,2024-09-09,,220547,Marcos Pollon,PL,MS,Sim
2204088-88,2024-09-09,,220690,Capitão Alden,PL,BA,Sim
2204088-88,2024-09-09,,74371,Rubens Otoni,PT,GO,Sim
2204088-88,2024-09-09,,204572,Capitão Alberto Neto,PL,AM,Sim
2204088-88,2024-09-09,,178843,Marx Beltrão,PP,AL,Sim
2204088-88,2024-09-09,,220673,Delegado Caveira,PL,PA,Sim
2204088-88,2024-09-09,,204570,Pastor Gil,PL,MA,Sim
2204088-88,2024-09-09,,160601,Pr. Marco Feliciano,PL,SP,Sim
2204088-88,2024-09-09,,204563,Josimar Maranhãozinho,PL,MA,Sim
2204088-88,2024-09-09,,160673,Giovani Cherini,PL,RS,Sim
2204088-88,2024-09-09,,204423,André Ferreira,PL,PE,Sim
2204088-88,2024-09-09,,220613,Roberto Monteiro Pai,PL,RJ,Sim
2204088-88,2024-09-09,,204485,Luiz Carlos Motta,PL,SP,Sim
2204088-88,2024-09-09,,204462,Chris Tonietto,PL,RJ,Sim
2204088-88,2024-09-09,,74044,Wilson Santiago,REPUBLICANOS,PB,Sim
2204088-88,2024-09-09,,141458,João Carlos Bacelar,PL,BA,Sim
2204088-88,2024-09-09,,178963,Covatti Filho,PP,RS,Sim
2204088-88,2024-09-09,,220649,Delegado da Cunha,PP,SP,Sim
2204088-88,2024-09-09,,204460,Carlos Jordy,PL,RJ,Sim
2204088-88,2024-09-09,,178871,Evair Vieira de Melo,PP,ES,Sim
2204088-88,2024-09-09,,204481,Dr. Jaziel,PL,CE,Sim
2204088-88,2024-09-09,,204411,Filipe Barros,PL,PR,Sim
2204088-88,2024-09-09,,73579,Alberto Fraga,PL,DF,Sim
2204088-88,2024-09-09,,179000,Marcelo Álvaro Antônio,PL,MG,Sim
2204088-88,2024-09-09,,220589,Eduardo Velloso,UNIÃO,AC,Sim
2204088-88,2024-09-09,,160640,Eros Biondini,PL,MG,Sim
2204088-88,2024-09-09,,74156,Leonardo Monteiro,PT,MG,Sim
2204088-88,2024-09-09,,220689,Detinha,PL,MA,Sim
2204088-88,2024-09-09,,220591,Meire Serafim,UNIÃO,AC,Sim
2204088-88,2024-09-09,,178983,Marcio Alvino,PL,SP,Sim
2204088-88,2024-09-09,,220653,Fábio Teruel,MDB,SP,Não
2204088-88,2024-09-09,,220611,General Pazuello,PL,RJ,Sim
2204088-88,2024-09-09,,74043,Wellington Roberto,PL,PB,Sim
2204088-88,2024-09-09,,220628,Mauricio do Vôlei,PL,MG,Sim
