id_votacao,data,descricao,deputado_id,deputado_nome,partidoSigla,uf,voto
2420033-24,2024-10-08,,160575,Erika Kokay,PT,DF,Não
2420033-24,2024-10-08,,163321,Ronaldo Nogueira,REPUBLICANOS,RS,Sim
2420033-24,2024-10-08,,204535,Sâmia Bomfim,PSOL,SP,Não
2420033-24,2024-10-08,,220533,Prof. Reginaldo Veras,PV,DF,Não
2420033-24,2024-10-08,,220547,Marcos Pollon,PL,MS,Sim
2420033-24,2024-10-08,,220606,Reimont,PT,RJ,Não
2420033-24,2024-10-08,,220658,Luiz Gastão,PSD,CE,Sim
2420033-24,2024-10-08,,220666,Coronel Meira,PL,PE,Sim
2339647-41,2024-10-08,,69871,Bacelar,PV,BA,Sim
2339647-41,2024-10-08,,74160,Patrus Ananias,PT,MG,Sim
2339647-41,2024-10-08,,74171,Chico Alencar,PSOL,RJ,Sim
2339647-41,2024-10-08,,74428,Mendonça Filho,UNIÃO,PE,Não
2339647-41,2024-10-08,,74550,João Leão,PP,BA,Não
2339647-41,2024-10-08,,74858,Lindbergh Farias,PT,RJ,Sim
2339647-41,2024-10-08,,98057,Lafayette de Andrada,REPUBLICANOS,MG,Não
2339647-41,2024-10-08,,160601,Pr. Marco Feliciano,PL,SP,Não
2339647-41,2024-10-08,,160758,Domingos Sávio,PL,MG,Não
2339647-41,2024-10-08,,165470,Rodrigo Valadares,UNIÃO,SE,Não
2339647-41,2024-10-08,,178835,Afonso Motta,PDT,RS,Sim
2339647-41,2024-10-08,,178871,Evair Vieira de Melo,PP,ES,Não
2339647-41,2024-10-08,,178873,Helder Salomão,PT,ES,Sim
2339647-41,2024-10-08,,178887,Rubens Pereira Júnior,PT,MA,Sim
2339647-41,2024-10-08,,178933,Sergio Souza,MDB,PR,Não
2339647-41,2024-10-08,,178987,Orlando Silva,PCdoB,SP,Sim
2339647-41,2024-10-08,,204369,Caroline de Toni,PL,SC,Não
2339647-41,2024-10-08,,204374,Bia Kicis,PL,DF,Não
2339647-41,2024-10-08,,204395,Pedro Lupion,PP,PR,Não
2339647-41,2024-10-08,,204427,Fernando Rodolfo,PL,PE,Não
2339647-41,2024-10-08,,204462,Chris Tonietto,PL,RJ,Não
2339647-41,2024-10-08,,204474,Juarez Costa,MDB,MT,Não
2339647-41,2024-10-08,,206018,Célia Xakriabá,PSOL,MG,Sim
2339647-41,2024-10-08,,220008,Eliza Virgínia,PP,PB,Não
2339647-41,2024-10-08,,220529,Gilson Daniel,PODE,ES,Abstenção
2339647-41,2024-10-08,,220543,Ricardo Ayres,REPUBLICANOS,TO,Não
2339647-41,2024-10-08,,220546,Rodolfo Nogueira,PL,MS,Não
2339647-41,2024-10-08,,220547,Marcos Pollon,PL,MS,Não
2339647-41,2024-10-08,,220550,Mauricio Marcon,PODE,RS,Não
2339647-41,2024-10-08,,220552,Zucco,PL,RS,Não
2339647-41,2024-10-08,,220559,Julia Zanatta,PL,SC,Não
2339647-41,2024-10-08,,220561,Delegada Katarina,PSD,SE,Não
2339647-41,2024-10-08,,220576,Alfredo Gaspar,UNIÃO,AL,Não
2339647-41,2024-10-08,,220583,Delegado Fabio Costa,PP,AL,Não
2339647-41,2024-10-08,,220586,Rafael Brito,MDB,AL,Sim
2339647-41,2024-10-08,,220588,Roberto Duarte,REPUBLICANOS,AC,Não
2339647-41,2024-10-08,,220594,Coronel Assis,UNIÃO,MT,Não
2339647-41,2024-10-08,,220595,Coronel Fernanda,PL,MT,Não
2339647-41,2024-10-08,,220619,Delegado Ramagem,PL,RJ,Não
2339647-41,2024-10-08,,220667,Pedro Campos,PSB,PE,Sim
2339647-41,2024-10-08,,224333,Welter,PT,PR,Sim
2339647-41,2024-10-08,,226708,Allan Garcês,PP,MA,Não
2339647-41,2024-10-08,,229112,Pedro Jr,PL,TO,Não
2391567-50,2024-10-09,,74160,Patrus Ananias,PT,MG,Não
2391567-50,2024-10-09,,74171,Chico Alencar,PSOL,RJ,Não
2391567-50,2024-10-09,,74428,Mendonça Filho,UNIÃO,PE,Sim
2391567-50,2024-10-09,,74550,João Leão,PP,BA,Sim
2391567-50,2024-10-09,,74858,Lindbergh Farias,PT,RJ,Não
2391567-50,2024-10-09,,98057,Lafayette de Andrada,REPUBLICANOS,MG,Sim
2391567-50,2024-10-09,,98148,Cobalchini,MDB,SC,Sim
2391567-50,2024-10-09,,109429,Benes Leocádio,UNIÃO,RN,Sim
2391567-50,2024-10-09,,156190,Marcel van Hattem,NOVO,RS,Sim
2391567-50,2024-10-09,,160600,Arthur Oliveira Maia,UNIÃO,BA,Sim
2391567-50,2024-10-09,,160601,Pr. Marco Feliciano,PL,SP,Sim
2391567-50,2024-10-09,,160758,Domingos Sávio,PL,MG,Sim
2391567-50,2024-10-09,,178835,Afonso Motta,PDT,RS,Não
2391567-50,2024-10-09,,178871,Evair Vieira de Melo,PP,ES,Sim
2391567-50,2024-10-09,,178873,Helder Salomão,PT,ES,Não
2391567-50,2024-10-09,,178881,Aluisio Mendes,REPUBLICANOS,MA,Sim
2391567-50,2024-10-09,,178887,Rubens Pereira Júnior,PT,MA,Não
2391567-50,2024-10-09,,178908,Delegado Éder Mauro,PL,PA,Sim
2391567-50,2024-10-09,,178933,Sergio Souza,MDB,PR,Sim
2391567-50,2024-10-09,,178934,Toninho Wandscheer,PP,PR,Sim
2391567-50,2024-10-09,,191923,Flávio Nogueira,PT,PI,Não
2391567-50,2024-10-09,,204374,Bia Kicis,PL,DF,Sim
2391567-50,2024-10-09,,204404,Lucas Redecker,PSDB,RS,Sim
2391567-50,2024-10-09,,204427,Fernando Rodolfo,PL,PE,Sim
2391567-50,2024-10-09,,204462,Chris Tonietto,PL,RJ,Sim
2391567-50,2024-10-09,,204472,José Medeiros,PL,MT,Sim
2391567-50,2024-10-09,,204479,Nicoletti,UNIÃO,RR,Sim
2391567-50,2024-10-09,,204512,Delegado Marcelo Freitas,UNIÃO,MG,Sim
2391567-50,2024-10-09,,204526,Luiz Philippe de Orleans e Bragança,PL,SP,Sim
2391567-50,2024-10-09,,204534,Tabata Amaral,PSB,SP,Não
2391567-50,2024-10-09,,204536,Kim Kataguiri,UNIÃO,SP,Sim
2391567-50,2024-10-09,,204557,Sidney Leite,PSD,AM,Sim
2391567-50,2024-10-09,,205865,Reinhold Stephanes,PSD,PR,Sim
2391567-50,2024-10-09,,206018,Célia Xakriabá,PSOL,MG,Não
2391567-50,2024-10-09,,220008,Eliza Virgínia,PP,PB,Sim
2391567-50,2024-10-09,,220543,Ricardo Ayres,REPUBLICANOS,TO,Sim
2391567-50,2024-10-09,,220550,Mauricio Marcon,PODE,RS,Sim
2391567-50,2024-10-09,,220552,Zucco,PL,RS,Sim
2391567-50,2024-10-09,,220559,Julia Zanatta,PL,SC,Sim
2391567-50,2024-10-09,,220576,Alfredo Gaspar,UNIÃO,AL,Sim
2391567-50,2024-10-09,,220583,Delegado Fabio Costa,PP,AL,Sim
2391567-50,2024-10-09,,220586,Rafael Brito,MDB,AL,Não
2391567-50,2024-10-09,,220588,Roberto Duarte,REPUBLICANOS,AC,Sim
2391567-50,2024-10-09,,220594,Coronel Assis,UNIÃO,MT,Sim
2391567-50,2024-10-09,,220619,Delegado Ramagem,PL,RJ,Sim
2391567-50,2024-10-09,,220667,Pedro Campos,PSB,PE,Não
2391567-50,2024-10-09,,220668,Maria Arraes,SOLIDARIEDADE,PE,Não
2391567-50,2024-10-09,,220684,Tião Medeiros,PP,PR,Sim
2391567-50,2024-10-09,,226179,Gisela Simona,UNIÃO,MT,Sim
2391567-50,2024-10-09,,229112,Pedro Jr,PL,TO,Sim
2410488-45,2024-10-09,,69871,Bacelar,PV,BA,Não
2410488-45,2024-10-09,,73801,Renildo Calheiros,PCdoB,PE,Não
