id_votacao,data,descricao,deputado_id,deputado_nome,partidoSigla,uf,voto
2466104-52,2024-11-05,,69871,Bacelar,PV,BA,Não
2466104-52,2024-11-05,,74270,Gilberto Nascimento,PSD,SP,Não
2466104-52,2024-11-05,,74262,Carlos Sampaio,PSD,SP,Não
2466104-52,2024-11-05,,220570,Dr. Ismael Alexandrino,PSD,GO,Sim
2466104-52,2024-11-05,,220553,Denise Pessôa,PT,RS,Não
2466104-52,2024-11-05,,204410,Luisa Canziani,PSD,PR,Não
2466104-52,2024-11-05,,160552,Danrlei de Deus Hinterholz,PSD,RS,Não
2466104-52,2024-11-05,,204473,General Girão,PL,RN,Não
2466104-52,2024-11-05,,220587,Gerlen Diniz,PP,AC,Não
2466104-52,2024-11-05,,178871,Evair Vieira de Melo,PP,ES,Não
2466104-52,2024-11-05,,204480,Rogério Correia,PT,MG,Sim
2466104-52,2024-11-05,,220666,Coronel Meira,PL,PE,Não
2466104-52,2024-11-05,,74159,Odair Cunha,PT,MG,Não
2466104-52,2024-11-05,,178866,Luizianne Lins,PT,CE,Sim
2466104-52,2024-11-05,,178843,Marx Beltrão,PP,AL,Não
2466104-52,2024-11-05,,141470,José Guimarães,PT,CE,Não
2466104-52,2024-11-05,,204506,Marcos Pereira,REPUBLICANOS,SP,Não
2466104-52,2024-11-05,,74646,Aécio Neves,PSDB,MG,Não
2466104-52,2024-11-05,,220549,Any Ortiz,CIDADANIA,RS,Não
2466104-52,2024-11-05,,204573,Otto Alencar Filho,PSD,BA,Não
2466104-52,2024-11-05,,220661,Matheus Noronha,PL,CE,Não
2466104-52,2024-11-05,,204571,Alex Santana,REPUBLICANOS,BA,Não
2466104-52,2024-11-05,,160517,Paulo Folletto,PSB,ES,Não
2466104-52,2024-11-05,,122158,Pedro Paulo,PSD,RJ,Sim
2466104-52,2024-11-05,,178947,Sóstenes Cavalcante,PL,RJ,Não
2466104-52,2024-11-05,,141487,Luiz Fernando Faria,PSD,MG,Não
2466104-52,2024-11-05,,220621,Sargento Gonçalves,PL,RN,Não
