id_votacao,data,descricao,deputado_id,deputado_nome,partidoSigla,uf,voto
2462730-34,2024-12-03,,220682,Tadeu Veneri,PT,PR,Sim
2462730-34,2024-12-03,,220556,Ana Paula Lima,PT,SC,Sim
2462730-34,2024-12-03,,141431,Fernando Coelho Filho,UNIÃO,PE,Sim
2462730-34,2024-12-03,,150418,Márcio Marinho,REPUBLICANOS,BA,Sim
2462730-34,2024-12-03,,220654,Delegado Paulo Bilynskyj,PL,SP,Não
2462730-34,2024-12-03,,178970,João Daniel,PT,SE,Sim
2462730-34,2024-12-03,,204541,Eduardo Bismarck,PDT,CE,Sim
2462730-34,2024-12-03,,164360,Carmen Zanotto,CIDADANIA,SC,Sim
2462730-34,2024-12-03,,220622,Nely Aquino,PODE,MG,Sim
2462730-34,2024-12-03,,220640,Juliana Cardoso,PT,SP,Sim
2462730-34,2024-12-03,,220649,Delegado da Cunha,PP,SP,Não
2462730-34,2024-12-03,,220635,Bruno Ganem,PODE,SP,Sim
2462730-34,2024-12-03,,160518,Weliton Prado,SOLIDARIEDADE,MG,Sim
2462730-34,2024-12-03,,178887,Rubens Pereira Júnior,PT,MA,Sim
2462730-34,2024-12-03,,160527,Aguinaldo Ribeiro,PP,PB,Sim
2462730-34,2024-12-03,,141464,José Airton Félix Cirilo,PT,CE,Sim
2462730-34,2024-12-03,,74160,Patrus Ananias,PT,MG,Sim
2462730-34,2024-12-03,,220713,Saullo Vianna,UNIÃO,AM,Sim
2462730-34,2024-12-03,,74371,Rubens Otoni,PT,GO,Sim
2462730-34,2024-12-03,,204574,Junior Lourenço,PL,MA,Sim
2462730-34,2024-12-03,,81055,Márcio Jerry,PCdoB,MA,Sim
2462730-34,2024-12-03,,220606,Reimont,PT,RJ,Sim
2462730-34,2024-12-03,,204355,Da Vitoria,PP,ES,Não
2462730-34,2024-12-03,,160599,Dimas Fabiano,PP,MG,Sim
2462730-34,2024-12-03,,220707,Amanda Gentil,PP,MA,Sim
2462730-34,2024-12-03,,204406,Pedro Westphalen,PP,RS,Não
2462730-34,2024-12-03,,141487,Luiz Fernando Faria,PSD,MG,Sim
2462730-34,2024-12-03,,220542,Alexandre Guimarães,MDB,TO,Sim
2462730-34,2024-12-03,,204498,Olival Marques,MDB,PA,Sim
2462730-34,2024-12-03,,220568,Gustavo Gayer,PL,GO,Não
2462730-34,2024-12-03,,204364,Eli Borges,PL,TO,Não
2462730-34,2024-12-03,,74554,José Rocha,UNIÃO,BA,Sim
2462730-34,2024-12-03,,220561,Delegada Katarina,PSD,SE,Sim
2462730-34,2024-12-03,,226179,Gisela Simona,UNIÃO,MT,Não
2462730-34,2024-12-03,,107283,Gleisi Hoffmann,PT,PR,Sim
2462730-34,2024-12-03,,171617,Paulão,PT,AL,Sim
2462730-34,2024-12-03,,74060,Daniel Almeida,PCdoB,BA,Sim
2462730-34,2024-12-03,,204412,Dr. Zacharias Calil,UNIÃO,GO,Não
2462730-34,2024-12-03,,74159,Odair Cunha,PT,MG,Sim
2462730-34,2024-12-03,,179001,Márcio Biolchi,MDB,RS,Sim
2462730-34,2024-12-03,,204494,Fred Costa,PRD,MG,Sim
2462730-34,2024-12-03,,74161,Reginaldo Lopes,PT,MG,Sim
2462730-34,2024-12-03,,220685,Paulo Litro,PSD,PR,Sim
2462730-34,2024-12-03,,74156,Leonardo Monteiro,PT,MG,Sim
2462730-34,2024-12-03,,220566,Lêda Borges,PSDB,GO,Sim
2462730-34,2024-12-03,,220620,Rosângela Reis,PL,MG,Não
2462730-34,2024-12-03,,74356,Silas Câmara,REPUBLICANOS,AM,Sim
2462730-34,2024-12-03,,178997,Moses Rodrigues,UNIÃO,CE,Sim
2462730-34,2024-12-03,,204459,Daniela do Waguinho,UNIÃO,RJ,Sim
2462730-34,2024-12-03,,188097,Merlong Solano,PT,PI,Sim
2462730-34,2024-12-03,,92699,Fernando Monteiro,PP,PE,Sim
2462730-34,2024-12-03,,220659,Dayany Bittencourt,UNIÃO,CE,Não
2462730-34,2024-12-03,,160758,Domingos Sávio,PL,MG,Não
2462730-34,2024-12-03,,141408,Cleber Verde,MDB,MA,Sim
2462730-34,2024-12-03,,178989,Renata Abreu,PODE,SP,Sim
2462730-34,2024-12-03,,220646,Felipe Becari,UNIÃO,SP,Sim
2462730-34,2024-12-03,,220673,Delegado Caveira,PL,PA,Não
2462730-34,2024-12-03,,220647,Mauricio Neves,PP,SP,Sim
2462730-34,2024-12-03,,160635,Ruy Carneiro,PODE,PB,Sim
2462730-34,2024-12-03,,204391,José Nelto,UNIÃO,GO,Sim
2462730-34,2024-12-03,,178873,Helder Salomão,PT,ES,Sim
2462730-34,2024-12-03,,74467,Damião Feliciano,UNIÃO,PB,Sim
2462730-34,2024-12-03,,221339,Dr. Benjamim,UNIÃO,MA,Sim
2462730-34,2024-12-03,,74262,Carlos Sampaio,PSD,SP,Não
2462730-34,2024-12-03,,230177,Tadeu Oliveira,PL,CE,Não
2462730-34,2024-12-03,,178985,Miguel Lombardi,PL,SP,Não
2462730-34,2024-12-03,,204517,Zé Vitor,PL,MG,Não
2462730-34,2024-12-03,,122974,Pedro Lucas Fernandes,UNIÃO,MA,Sim
2462730-34,2024-12-03,,74848,Jandira Feghali,PCdoB,RJ,Sim
2462730-34,2024-12-03,,73692,Osmar Terra,MDB,RS,Sim
2462730-34,2024-12-03,,160556,Padre João,PT,MG,Sim
2462730-34,2024-12-03,,204409,Daniel Trzeciak,PSDB,RS,Sim
2462730-34,2024-12-03,,73579,Alberto Fraga,PL,DF,Não
2462730-34,2024-12-03,,204508,Igor Timo,PSD,MG,Sim
2462730-34,2024-12-03,,178895,Misael Varella,PSD,MG,Sim
2462730-34,2024-12-03,,220587,Gerlen Diniz,PP,AC,Sim
2462730-34,2024-12-03,,220660,Yury do Paredão,MDB,CE,Sim
2462730-34,2024-12-03,,160592,Zeca Dirceu,PT,PR,Sim
2462730-34,2024-12-03,,198783,Emanuel Pinheiro Neto,MDB,MT,Não
2462730-34,2024-12-03,,221378,Reginete Bispo,PT,RS,Sim
2462730-34,2024-12-03,,178933,Sergio Souza,MDB,PR,Sim
2462730-34,2024-12-03,,88256,Clodoaldo Magalhães,PV,PE,Sim
2462730-34,2024-12-03,,178945,Rosangela Gomes,REPUBLICANOS,RJ,Sim
2462730-34,2024-12-03,,220526,Gilvan da Federal,PL,ES,Não
2462730-34,2024-12-03,,160674,Hugo Motta,REPUBLICANOS,PB,Sim
2462730-34,2024-12-03,,204495,Airton Faleiro,PT,PA,Sim
2462730-34,2024-12-03,,205550,Jorge Braz,REPUBLICANOS,RJ,Sim
2462730-34,2024-12-03,,220698,Beto Preto,PSD,PR,Sim
2462730-34,2024-12-03,,80815,Leo Prates,PDT,BA,Sim
2462730-34,2024-12-03,,74398,Maria do Rosário,PT,RS,Sim
2462730-34,2024-12-03,,178881,Aluisio Mendes,REPUBLICANOS,MA,Sim
2462730-34,2024-12-03,,204533,Idilvan Alencar,PDT,CE,Sim
2462730-34,2024-12-03,,220576,Alfredo Gaspar,UNIÃO,AL,Não
2462730-34,2024-12-03,,204455,Luiz Lima,PL,RJ,Não
2462730-34,2024-12-03,,74550,João Leão,PP,BA,Sim
2462730-34,2024-12-03,,220615,Pastor Henrique Vieira,PSOL,RJ,Sim
2462730-34,2024-12-03,,178983,Marcio Alvino,PL,SP,Não
2462730-34,2024-12-03,,220555,Daiana Santos,PCdoB,RS,Sim
2462730-34,2024-12-03,,220677,Keniston Braga,MDB,PA,Sim
2462730-34,2024-12-03,,204566,Marreca Filho,PRD,MA,Sim
2462730-34,2024-12-03,,220528,Dr. Victor Linhalis,PODE,ES,Sim
2462730-34,2024-12-03,,204464,Talíria Petrone,PSOL,RJ,Sim
2462730-34,2024-12-03,,220527,Jack Rocha,PT,ES,Sim
2462730-34,2024-12-03,,141485,Luiz Carlos Busato,UNIÃO,RS,Sim
2462730-34,2024-12-03,,204390,Professor Alcides,PL,GO,Não
2462730-34,2024-12-03,,220666,Coronel Meira,PL,PE,Não
2462730-34,2024-12-03,,74376,Vander Loubet,PT,MS,Sim
2462730-34,2024-12-03,,152605,Glauber Braga,PSOL,RJ,Sim
2462730-34,2024-12-03,,220653,Fábio Teruel,MDB,SP,Sim
2462730-34,2024-12-03,,141450,Hugo Leal,PSD,RJ,Sim
2462730-34,2024-12-03,,73768,Dilceu Sperafico,PP,PR,Sim
2462730-34,2024-12-03,,73433,Arlindo Chinaglia,PT,SP,Sim
2462730-34,2024-12-03,,204374,Bia Kicis,PL,DF,Não
2462730-34,2024-12-03,,98615,Ismael,PSD,SC,Sim
2462730-34,2024-12-03,,204507,Carla Zambelli,PL,SP,Não
2462730-34,2024-12-03,,220565,Delegada Adriana Accorsi,PT,GO,Sim
